Decada,70s,80s,90s,2000s,2010s,2020s
Albacete,217,328,424,362,229,46
Alicante/Alacant,771,1073,1350,1076,583,89
Almería,389,272,441,584,394,86
Araba/Álava,214,135,100,42,20,..
Asturias,794,897,737,540,305,53
Ávila,59,108,128,102,40,7
Badajoz,259,527,776,692,429,89
Balears,395,432,463,393,225,39
Barcelona,3993,3316,2396,1848,763,132
Bizkaia,834,463,318,155,80,14
Burgos,231,270,326,192,101,19
Cáceres,140,231,349,244,118,17
Cádiz,750,930,1634,1785,1003,186
Cantabria,443,574,480,378,217,57
Castellón/Castelló,390,509,541,388,218,27
Ciudad Real,134,209,299,301,207,40
Córdoba,567,624,830,771,545,121
Coruña,842,988,844,759,354,53
Cuenca,92,114,177,111,62,21
Gipuzkoa,539,258,220,107,49,11
Girona,371,203,105,103,38,..
Granada,425,510,829,722,446,92
Guadalajara,70,125,146,140,89,13
Huelva,214,364,659,696,392,80
Huesca,136,171,198,165,90,13
Jaén,622,618,864,688,404,87
León,341,325,305,227,108,17
Lleida,207,137,96,68,21,..
Lugo,354,315,272,172,76,7
Madrid,4536,4965,4929,4158,2700,529
Málaga,798,889,1415,1620,943,199
Murcia,883,1006,1323,1421,1004,190
Navarra,544,493,426,289,171,20
Ourense,265,308,230,160,67,..
Palencia,68,107,148,82,42,13
Palmas,167,144,294,335,185,29
Pontevedra,821,912,812,654,284,45
Rioja,235,331,319,226,143,24
Salamanca,191,311,349,218,109,14
Santa Cruz de Tenerife,142,151,199,216,135,26
Segovia,104,149,167,107,57,6
Sevilla,1257,1431,2567,2859,2026,424
Soria,54,103,102,56,21,5
Tarragona,318,313,201,211,96,17
Teruel,94,129,159,92,40,9
Toledo,151,285,400,352,232,43
Valencia/València,1843,2233,2028,1680,897,147
Valladolid,302,343,330,301,170,35
Zamora,113,171,170,85,45,..
Zaragoza,600,739,761,591,302,43
Ceuta,14,30,53,52,19,7
Melilla,24,20,36,20,17,..
Nacido en el extranjero,1600,1160,745,425,215,18
