Decada,70s,80s,90s,2000s,2010s,2020s
Albacete,327,652,1005,909,561,95
Alicante/Alacant,883,1823,2888,3268,1658,276
Almería,464,380,817,1368,1086,274
Araba/Álava,232,316,287,228,101,12
Asturias,1508,1981,1344,1104,487,80
Ávila,107,309,353,243,106,14
Badajoz,554,1365,1824,1693,1028,200
Balears,1309,965,1219,1697,988,182
Barcelona,3131,3751,5902,7924,4480,665
Bizkaia,1232,1113,992,798,290,35
Burgos,411,676,577,456,215,16
Cáceres,251,779,865,698,340,59
Cádiz,897,1545,2669,3494,2229,420
Cantabria,941,1264,836,864,370,55
Castellón/Castelló,337,787,986,1094,534,81
Ciudad Real,213,747,1230,1088,689,111
Córdoba,589,972,1866,2095,1424,337
Coruña,1815,1871,1256,1227,585,71
Cuenca,112,370,474,358,178,26
Gipuzkoa,667,699,713,569,216,34
Girona,492,438,670,911,557,87
Granada,589,925,1860,2217,1336,284
Guadalajara,112,311,350,422,255,34
Huelva,322,899,1374,1475,904,200
Huesca,198,344,367,304,184,24
Jaén,785,1013,1772,1849,1179,262
León,369,761,685,614,263,44
Lleida,274,404,558,668,333,47
Lugo,426,588,446,389,179,23
Madrid,5384,9322,10103,11109,6099,984
Málaga,962,1417,2603,3605,2328,499
Murcia,1631,1916,3185,3834,2455,486
Navarra,961,1060,852,712,336,52
Ourense,281,425,375,345,169,19
Palencia,94,344,292,245,85,17
Palmas,235,342,559,815,434,63
Pontevedra,1315,1494,1128,1145,447,70
Rioja,451,604,463,418,207,44
Salamanca,344,777,649,515,210,28
Santa Cruz de Tenerife,247,369,683,792,400,61
Segovia,206,301,269,235,96,19
Sevilla,1388,2538,4589,5725,3713,694
Soria,78,201,186,138,59,15
Tarragona,358,538,834,1127,668,104
Teruel,73,185,236,215,116,21
Toledo,290,1095,1363,1246,716,110
Valencia/València,2050,4085,4454,4711,2495,389
Valladolid,627,1072,882,830,433,70
Zamora,171,344,298,204,105,8
Zaragoza,797,1549,1593,1620,848,119
Ceuta,30,63,114,131,74,11
Melilla,32,68,90,85,54,13
Nacido en el extranjero,3957,2945,2063,1267,610,56
