Decada,70s,80s,90s,2000s,2010s,2020s
Albacete,108,65,42,27,19,..
Alicante/Alacant,755,316,150,104,42,6
Almería,230,135,61,57,34,8
Araba/Álava,459,69,12,6,..,..
Asturias,1911,444,122,50,15,..
Ávila,161,62,22,14,5,..
Badajoz,366,185,97,39,24,..
Balears,617,271,82,56,30,..
Barcelona,8572,1735,407,180,59,13
Bizkaia,1978,265,44,17,..,..
Burgos,556,104,50,22,8,..
Cáceres,326,120,61,32,10,..
Cádiz,1653,571,163,140,52,..
Cantabria,442,171,49,38,13,..
Castellón/Castelló,520,161,47,35,7,..
Ciudad Real,138,95,50,37,23,..
Córdoba,448,280,92,85,41,6
Coruña,1093,438,122,63,17,..
Cuenca,165,56,33,10,8,..
Gipuzkoa,878,107,19,12,..,..
Girona,603,178,35,12,7,..
Granada,930,317,151,105,56,11
Guadalajara,180,59,18,16,..,..
Huelva,321,87,45,44,23,..
Huesca,250,66,20,11,..,..
Jaén,329,179,71,60,23,5
León,876,225,52,24,7,..
Lleida,290,81,15,6,7,..
Lugo,344,193,50,17,7,..
Madrid,9860,2090,834,499,207,24
Málaga,1983,523,206,175,77,10
Murcia,684,349,178,124,71,11
Navarra,783,119,36,20,14,..
Ourense,481,149,47,14,..,..
Palencia,194,63,23,6,..,..
Palmas,78,34,31,28,16,..
Pontevedra,1224,459,113,60,12,..
Rioja,452,85,16,26,7,..
Salamanca,386,141,47,22,7,..
Santa Cruz de Tenerife,130,77,38,31,10,..
Segovia,153,57,19,10,5,..
Sevilla,1382,648,206,190,93,7
Soria,127,33,14,6,..,..
Tarragona,558,169,42,17,8,..
Teruel,99,43,21,9,..,..
Toledo,419,172,82,57,22,..
Valencia/València,2513,722,220,155,71,15
Valladolid,755,189,72,41,10,..
Zamora,246,82,32,10,..,..
Zaragoza,1484,330,102,78,30,..
Ceuta,107,17,8,7,..,..
Melilla,36,18,9,8,..,..
Nacido en el extranjero,1349,495,244,80,53,5
