Frecuencias de nombres

Nombres por provincia y década de nacimiento

Nombre: MARIA (edad media: 48,2 años(*))
,Años 70,Años 80,Años 90,Años 2000,Años 2010,Años 2020,
Total,41.509,61.102,74.048,81.093,45.912,8.000,
Albacete,327,652,1.005,909,561,95,
Alicante/Alacant,883,1.823,2.888,3.268,1.658,276,
Almería,464,380,817,1.368,1.086,274,
Araba/Álava,232,316,287,228,101,12,
Asturias,1.508,1.981,1.344,1.104,487,80,
Ávila,107,309,353,243,106,14,
Badajoz,554,1.365,1.824,1.693,1.028,200,
Balears, Illes,1.309,965,1.219,1.697,988,182,
Barcelona,3.131,3.751,5.902,7.924,4.480,665,
Bizkaia,1.232,1.113,992,798,290,35,
Burgos,411,676,577,456,215,16,
Cáceres,251,779,865,698,340,59,
Cádiz,897,1.545,2.669,3.494,2.229,420,
Cantabria,941,1.264,836,864,370,55,
Castellón/Castelló,337,787,986,1.094,534,81,
Ciudad Real,213,747,1.230,1.088,689,111,
Córdoba,589,972,1.866,2.095,1.424,337,
Coruña, A,1.815,1.871,1.256,1.227,585,71,
Cuenca,112,370,474,358,178,26,
Gipuzkoa,667,699,713,569,216,34,
Girona,492,438,670,911,557,87,
Granada,589,925,1.860,2.217,1.336,284,
Guadalajara,112,311,350,422,255,34,
Huelva,322,899,1.374,1.475,904,200,
Huesca,198,344,367,304,184,24,
Jaén,785,1.013,1.772,1.849,1.179,262,
León,369,761,685,614,263,44,
Lleida,274,404,558,668,333,47,
Lugo,426,588,446,389,179,23,
Madrid,5.384,9.322,10.103,11.109,6.099,984,
Málaga,962,1.417,2.603,3.605,2.328,499,
Murcia,1.631,1.916,3.185,3.834,2.455,486,
Navarra,961,1.060,852,712,336,52,
Ourense,281,425,375,345,169,19,
Palencia,94,344,292,245,85,17,
Palmas, Las,235,342,559,815,434,63,
Pontevedra,1.315,1.494,1.128,1.145,447,70,
Rioja, La,451,604,463,418,207,44,
Salamanca,344,777,649,515,210,28,
Santa Cruz de Tenerife,247,369,683,792,400,61,
Segovia,206,301,269,235,96,19,
Sevilla,1.388,2.538,4.589,5.725,3.713,694,
Soria,78,201,186,138,59,15,
Tarragona,358,538,834,1.127,668,104,
Teruel,73,185,236,215,116,21,
Toledo,290,1.095,1.363,1.246,716,110,
Valencia/València,2.050,4.085,4.454,4.711,2.495,389,
Valladolid,627,1.072,882,830,433,70,
Zamora,171,344,298,204,105,8,
Zaragoza,797,1.549,1.593,1.620,848,119,
Ceuta,30,63,114,131,74,11,
Melilla,32,68,90,85,54,13,
Nacido en el extranjero,3.957,2.945,2.063,1.267,610,56,

NOTAS
0) Sólo se muestran los nombres cuya frecuencia es mayor o igual a 20 para el total nacional. Para las provincias/décadas seleccionadas se exige además una frecuencia de al menos 5. Por esta razón, la frecuencia total para algunos nombres puede no ser igual a la suma de las provincias o décadas que se muestran.
1) Datos procedentes del Censo anual de población a fecha 01/01/2023
2) (*) Edad media de las personas que tienen ese nombre a nivel nacional.
