Frecuencias de nombres

Nombres por provincia y década de nacimiento

Nombre: PATRICIA (edad media: 36,2 años(*))
,Años 70,Años 80,Años 90,Años 2000,Años 2010,Años 2020,
Total,25.094,39.779,25.094,12.698,3.344,285,
Albacete,42,188,233,157,65,6,
Alicante/Alacant,674,1.271,717,376,95,10,
Almería,106,331,343,267,121,18,
Araba/Álava,127,262,132,42,6,..,
Asturias,1.602,1.321,511,186,38,..,
Ávila,77,195,111,67,15,..,
Badajoz,107,442,421,244,93,12,
Balears, Illes,282,561,352,148,29,..,
Barcelona,1.711,3.430,2.242,739,117,5,
Bizkaia,685,880,414,142,17,..,
Burgos,251,416,219,135,35,..,
Cáceres,154,416,254,129,31,..,
Cádiz,771,1.553,915,417,105,12,
Cantabria,743,738,313,154,30,..,
Castellón/Castelló,274,445,230,149,30,..,
Ciudad Real,54,222,294,238,82,6,
Córdoba,89,280,418,277,96,6,
Coruña, A,1.223,1.397,565,164,37,..,
Cuenca,40,150,126,75,30,..,
Gipuzkoa,304,278,138,53,6,..,
Girona,100,202,153,55,7,..,
Granada,384,811,665,288,112,8,
Guadalajara,48,156,141,109,30,..,
Huelva,126,318,269,170,51,..,
Huesca,141,204,84,41,11,..,
Jaén,54,233,350,237,94,8,
León,352,788,274,121,35,..,
Lleida,65,179,81,30,12,..,
Lugo,200,397,160,72,16,..,
Madrid,4.490,7.086,4.864,2.871,678,48,
Málaga,866,1.504,890,406,136,15,
Murcia,156,468,552,594,253,37,
Navarra,375,504,309,159,23,..,
Ourense,328,423,103,37,7,..,
Palencia,83,229,102,34,11,..,
Palmas, Las,327,524,545,282,59,..,
Pontevedra,1.604,1.241,502,133,18,6,
Rioja, La,103,284,187,101,28,..,
Salamanca,144,425,224,98,21,..,
Santa Cruz de Tenerife,313,688,606,186,35,5,
Segovia,105,152,81,44,8,..,
Sevilla,889,1.489,1.207,609,199,19,
Soria,26,85,58,29,6,..,
Tarragona,156,346,192,98,17,..,
Teruel,21,56,68,32,13,..,
Toledo,187,551,399,256,71,..,
Valencia/València,1.177,2.193,1.313,635,132,14,
Valladolid,424,739,339,228,34,..,
Zamora,98,219,98,45,11,..,
Zaragoza,590,1.050,624,354,77,..,
Ceuta,26,84,47,11,6,..,
Melilla,25,62,41,19,..,..,
Nacido en el extranjero,1.795,1.313,618,155,52,..,

NOTAS
0) Sólo se muestran los nombres cuya frecuencia es mayor o igual a 20 para el total nacional. Para las provincias/décadas seleccionadas se exige además una frecuencia de al menos 5. Por esta razón, la frecuencia total para algunos nombres puede no ser igual a la suma de las provincias o décadas que se muestran.
1) Datos procedentes del Censo anual de población a fecha 01/01/2023
2) (*) Edad media de las personas que tienen ese nombre a nivel nacional.
